fecha,cliente_ref,sku,unidades,kilos,valor,canal_fuente,regional_fuente,responsable,fuente,comentario,archivo,cliente_id,cliente,metodo_cliente,score_cliente,canal,regional,sku_valido,descripcion_producto,peso_kg,unidad,variedad,subcategoria,categoria,tipo_producto,marca,origen,duplicado_exacto
2025-01-06,Canasta Familiar SAS,900104,38,3.04,262630,Grandes Superficies,Santanderes,Juan Sebastián León,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C016,Canasta Familiar,nombre_normalizado,100.0,Grandes Superficies,Santanderes,True,CHORIZO TAJADO CASA IBERIA 80G,0.08,UND,CHORIZO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-06,SUPERAHORRO,110103,40,6.0,437560,Grandes Superficies,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C002,SuperAhorro,nombre_normalizado,100.0,Grandes Superficies,Antioquia,True,MUENSTER TAJADO LOMA DORADA 150G,0.15,UND,MUENSTER,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-06,PLAZA HOGAR,110112,72,7.2,379740,Grandes Superficies,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C014,Plaza Hogar,nombre_normalizado,100.0,Grandes Superficies,Occidente,True,PARMESANO RALLADO ORO LECHE 100G,0.1,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,False
2025-01-06,Rapi Express,110108,2,0.3,24150,Ecommerce,Centro,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,MANCHEGO CUÑA MONTE AZUL 150G,0.15,UND,MANCHEGO,CUÑAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,False
2025-01-06,Rapi Express,110112,5,0.5,26350,Ecommerce,Centro,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,PARMESANO RALLADO ORO LECHE 100G,0.1,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,False
2025-01-06,Rapi Express,110113,4,1.0,48800,Ecommerce,Centro,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,False
2025-01-06,Super Ahorro,130101,84,12.6,365080,Grandes superficies,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C002,SuperAhorro,nombre_normalizado,100.0,Grandes Superficies,Antioquia,True,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-06,RapiExpress,120101,6,1.5,45690,E-commerce,CENTRO,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,MOZZARELLA TAJADA CAMPOCLARO 250G,0.25,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,False
2025-01-06,Rapi Express,120103,4,0.8,31490,E-commerce,CENTRO,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,QUESO CREMA CAMPOCLARO 200G,0.2,UND,CREMAS,UNTABLES,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,False
2025-01-06,Rapi Express,900102,3,0.24,22390,Quick commerce,Centro,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-06,Rapi Express,130101,4,0.6,17600,Quick commerce,CENTRO,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-06,SUPERAHORRO,110113,45,11.25,530480,Grandes superficies,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C002,SuperAhorro,nombre_normalizado,100.0,Grandes Superficies,Antioquia,True,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,False
2025-01-06,RapiExpress,900101,2,0.16,15330,Ecommerce,CENTRO,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,SALAMI TAJADO CASA IBERIA 80G,0.08,UND,SALAMI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-06,HiperMax Nal,110104,66,9.9,733270,GS,Centro,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,COLBY JACK TAJADO LOMA DORADA 150G,0.15,UND,COLBY JACK,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-06,Maxi Compra Caribe,110101,40,6.0,441270,GS,Caribe,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C003,MaxiCompra Caribe,nombre_normalizado,100.0,Grandes Superficies,Caribe,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-06,Plaza Hogar,110104,46,6.9,510790,Grandes Superficies,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C014,Plaza Hogar,nombre_normalizado,100.0,Grandes Superficies,Occidente,True,COLBY JACK TAJADO LOMA DORADA 150G,0.15,UND,COLBY JACK,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-06,HiperMax Nacional,110106,43,5.375,417080,Grandes superficies,Centro,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,BRIE CUÑA MONTE AZUL 125G,0.125,UND,BRIE,QUESOS BLANDOS,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,False
2025-01-06,Hipermax Nacional S.A.,110107,43,5.375,428950,Grandes Superficies,CENTRO,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,CAMEMBERT CUÑA MONTE AZUL 125G,0.125,UND,CAMEMBERT,QUESOS BLANDOS,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,False
2025-01-07,DescuentoYA,120103,109,21.8,810930,Discounters,CENTRO,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C004,Descuento Ya,nombre_normalizado,100.0,Hard Discount,Centro,True,QUESO CREMA CAMPOCLARO 200G,0.2,UND,CREMAS,UNTABLES,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,False
2025-01-07,CADENA 1,300102,74,17.02,519570,Hard discount,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C018,Cadena Uno,nombre_normalizado,100.0,Hard Discount,Occidente,True,JAMON DE PAVO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON PAVO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-07,Horeca Antioquia,130102,197,197.0,3617220,Inst.,Antioquia,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C008,Horeca Antioquia,nombre_normalizado,100.0,Institucional,Antioquia,True,CHEDDAR BLOQUE DELILAT 1KG,1.0,KG,CHEDDAR ANALOGO,BLOQUES,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,Cadena Uno,300101,88,20.24,578820,Discounters,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C018,Cadena Uno,nombre_normalizado,100.0,Hard Discount,Occidente,True,JAMON DE CERDO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON CERDO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-07,Cadena 1,130103,130,37.44,776990,Hard Discount,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C018,Cadena Uno,nombre_normalizado,100.0,Hard Discount,Occidente,True,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,Sabor Escolar,110116,61,61.0,3547370,Inst.,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,PROVOLONE BLOQUE CAMPO REAL 1KG,1.0,KG,PROVOLONE,BLOQUES,QUESOS MADURADOS,regular,CAMPO REAL,NACIONAL,False
2025-01-07,Cadena 1,130101,238,35.7,997250,Hard Discount,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C018,Cadena Uno,nombre_normalizado,100.0,Hard Discount,Occidente,True,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,CADENA 1,120104,81,16.2,473610,Hard Discount,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C018,Cadena Uno,nombre_normalizado,100.0,Hard Discount,Occidente,True,MOZZARELLA LIGHT CAMPOCLARO 200G,0.2,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,False
2025-01-07,Sabor Escolar,900106,38,38.0,3247790,Institucional,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,PEPPERONI BARRA CASA IBERIA 1KG,1.0,KG,PEPPERONI,BARRAS,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-07,Sabor Escolar SAS,120102,134,134.0,3780650,Inst.,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,MOZZARELLA BLOQUE CAMPOCLARO 1KG,1.0,KG,MOZZARELLA,BLOQUES,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,False
2025-01-07,Sabor Escolar SAS,130102,158,158.0,2951670,Inst.,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,CHEDDAR BLOQUE DELILAT 1KG,1.0,KG,CHEDDAR ANALOGO,BLOQUES,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,Sabor Escolar SAS,130104,59,8.85,239440,Institucional,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,PIZZA MIX RALLADO DELILAT 150G,0.15,UND,MIXTO QUESOS,RALLADOS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,PRECIO LISTO,130101,252,37.8,1037120,Hard Discount,Antioquia,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C005,PrecioListo,nombre_normalizado,100.0,Hard Discount,Antioquia,True,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,Sabor Escolar SAS,300103,101,101.0,2927840,Institucional,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,JAMON DE CERDO BLOQUE FOODSERVICE 1KG,1.0,KG,JAMON CERDO,BLOQUES,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-07,PUNTOMENOS CARIBE,130104,92,13.8,403990,Hard discount,Caribe,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C006,PuntoMenos Caribe,nombre_normalizado,100.0,Hard Discount,Caribe,True,PIZZA MIX RALLADO DELILAT 150G,0.15,UND,MIXTO QUESOS,RALLADOS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,PrecioListo,130104,145,21.75,620190,Discounters,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C005,PrecioListo,nombre_normalizado,100.0,Hard Discount,Antioquia,True,PIZZA MIX RALLADO DELILAT 150G,0.15,UND,MIXTO QUESOS,RALLADOS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,PuntoMenos Caribe,130103,94,27.072,564990,Discounters,CARIBE,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C006,PuntoMenos Caribe,nombre_normalizado,100.0,Hard Discount,Caribe,True,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,PUNTOMENOS CARIBE,130101,146,21.9,592530,Hard discount,CARIBE,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C006,PuntoMenos Caribe,nombre_normalizado,100.0,Hard Discount,Caribe,True,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,Precio Listo,300101,114,26.22,752130,Hard Discount,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C005,PrecioListo,nombre_normalizado,100.0,Hard Discount,Antioquia,True,JAMON DE CERDO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON CERDO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-07,PuntoMenos Caribe,120104,63,12.6,367850,Discounters,Caribe,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C006,PuntoMenos Caribe,nombre_normalizado,100.0,Hard Discount,Caribe,True,MOZZARELLA LIGHT CAMPOCLARO 200G,0.2,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,False
2025-01-07,Sabor Escolar SAS,300104,100,100.0,2916770,Inst.,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,JAMON DE PAVO BLOQUE FOODSERVICE 1KG,1.0,KG,JAMON PAVO,BLOQUES,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-07,Sabor Escolar,900105,35,35.0,3126050,Institucional,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,SALAMI BARRA CASA IBERIA 1KG,1.0,KG,SALAMI,BARRAS,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-07,PRECIO LISTO,900102,67,5.36,480790,Hard discount,Antioquia,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C005,PrecioListo,nombre_normalizado,100.0,Hard Discount,Antioquia,True,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-07,HORECA ANTIOQUIA,900106,38,38.0,3343730,Inst.,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C008,Horeca Antioquia,nombre_normalizado,100.0,Institucional,Antioquia,True,PEPPERONI BARRA CASA IBERIA 1KG,1.0,KG,PEPPERONI,BARRAS,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-07,Cadena 1,900102,52,4.16,376660,Hard Discount,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C018,Cadena Uno,nombre_normalizado,100.0,Hard Discount,Occidente,True,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-07,Sabor Escolar SAS,110111,53,53.0,3117650,Inst.,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C009,Sabor Escolar,nombre_normalizado,100.0,Institucional,Occidente,True,GOUDA NATURAL BLOQUE CAMPO REAL 1KG,1.0,KG,GOUDA NATURAL,BLOQUES,QUESOS MADURADOS,regular,CAMPO REAL,NACIONAL,False
2025-01-07,Descuento Ya,130101,302,40.77,1236960,Discounters,Centro,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C004,Descuento Ya,nombre_normalizado,100.0,Hard Discount,Centro,True,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,HORECA ANTIOQUIA,130104,68,10.2,282360,Institucional,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C008,Horeca Antioquia,nombre_normalizado,100.0,Institucional,Antioquia,True,PIZZA MIX RALLADO DELILAT 150G,0.15,UND,MIXTO QUESOS,RALLADOS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-07,HORECA ANTIOQUIA,120102,113,113.0,3213810,Inst.,Antioquia,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C008,Horeca Antioquia,nombre_normalizado,100.0,Institucional,Antioquia,True,MOZZARELLA BLOQUE CAMPOCLARO 1KG,1.0,KG,MOZZARELLA,BLOQUES,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,False
2025-01-07,Horeca Antioquia,110116,55,55.0,3206380,Institucional,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C008,Horeca Antioquia,nombre_normalizado,100.0,Institucional,Antioquia,True,PROVOLONE BLOQUE CAMPO REAL 1KG,1.0,KG,PROVOLONE,BLOQUES,QUESOS MADURADOS,regular,CAMPO REAL,NACIONAL,False
2025-01-07,HORECA ANTIOQUIA,110111,72,72.0,4187210,Inst.,ANTIOQUIA,Sara Vélez,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C008,Horeca Antioquia,nombre_normalizado,100.0,Institucional,Antioquia,True,GOUDA NATURAL BLOQUE CAMPO REAL 1KG,1.0,KG,GOUDA NATURAL,BLOQUES,QUESOS MADURADOS,regular,CAMPO REAL,NACIONAL,False
2025-01-07,FoodService Capital,900106,52,52.0,4669330,Inst.,CENTRO,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C007,Food Service Capital,nombre_normalizado,100.0,Institucional,Centro,True,PEPPERONI BARRA CASA IBERIA 1KG,1.0,KG,PEPPERONI,BARRAS,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
